frame_index,timestamp,time,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,1.78E+12,0,399.9491577,67.14840698,0.997279584,412.1885986,55.36524963,0.97836405,386.799408,55.51066589,0.994128227,423.036499,64.2959137,0.607917368,362.4097595,64.42089844,0.939304471,439.4237061,134.4114075,0.991024017,332.1992798,136.1572266,0.999144673,467.0439453,217.9728088,0.94733429,288.4305115,207.0117798,0.995347321,479.3555298,290.9660339,0.938996077,222.6146545,239.8766174,0.989493489,421.5279846,319.9644775,0.993823171,351.2869263,321.0957947,0.997721374,427.8546143,449.5972595,0.662078738,348.4230042,454.866394,0.823353291,424.6046753,480,0.055307809,353.9642639,480,0.09268415
1,1.78E+12,0.093,400.7685547,67.28642273,0.997258306,412.5162659,55.43057251,0.976350725,387.5039978,55.80104065,0.994291186,422.5445251,64.00535583,0.571217179,362.5630188,64.71260071,0.944154918,439.3033447,133.5903625,0.991109729,332.3787842,136.0140686,0.999192297,467.4100342,217.5516663,0.947247624,287.7325439,207.8239746,0.995694876,478.8221436,290.7802734,0.938380659,221.0718079,241.5108185,0.99004972,422.1046143,318.250061,0.994038463,351.9472961,319.6091919,0.99786061,427.6361084,447.1915283,0.674857676,347.161499,452.7263794,0.834619582,424.138916,480,0.058369111,350.9133911,480,0.098342001
2,1.78E+12,0.14,401.2259521,66.19639587,0.997221708,413.25177,54.59494019,0.976780415,387.9866333,54.59988403,0.994265139,423.236145,64.1708374,0.584471524,362.850708,64.13859558,0.944904089,439.4855652,134.8983459,0.991166413,331.3988647,136.3333588,0.999115169,467.3068848,218.2393036,0.947241843,287.287323,207.7410736,0.99511838,479.882843,289.9572144,0.936649621,221.9592743,241.5660095,0.988711596,419.6963501,322.5655823,0.993933141,348.3612976,323.4275513,0.997706056,425.8937683,455.5757446,0.641564965,342.5737,460.5752563,0.80514425,423.2816162,480,0.048331827,345.9118652,480,0.07897564
3,1.78E+12,0.186,401.4138184,66.63819885,0.997722447,413.9506836,55.05297852,0.981340468,388.0091858,54.75836182,0.995204806,424.5202637,64.72767639,0.613421261,362.6957397,63.96817017,0.947111905,439.8718567,135.2869873,0.991609633,332.4546814,136.3824158,0.999177992,467.6912231,219.0723724,0.946874022,288.9221191,208.0860291,0.995180964,479.583374,290.4441223,0.938214123,222.8065186,240.2612915,0.989147782,421.4177551,321.2613831,0.993605614,351.2009277,322.0015259,0.997610688,425.5786438,451.2679138,0.655005097,347.5697327,455.7698059,0.816109538,421.1138,480,0.053668622,352.6455994,480,0.088626854
4,1.78E+12,0.234,401.1474609,66.21769714,0.997504532,413.6294556,54.74847412,0.979287267,387.721283,54.37312317,0.994779825,424.1072388,64.80688477,0.596483588,362.315918,63.87452698,0.9452191,439.8657532,135.6137085,0.991002023,332.4545593,136.4637146,0.999195158,467.7523499,219.7168732,0.944308937,288.3934937,208.085556,0.995529711,481.6331177,291.4803772,0.935044825,221.7262573,239.7995758,0.989603102,423.0475769,321.4118652,0.993667662,352.6742859,322.0908508,0.997752607,426.5897827,451.3085022,0.65364325,347.1154175,455.7729797,0.822184086,422.2530212,480,0.053652376,351.1989441,480,0.091389112
5,1.78E+12,0.279,401.0569458,66.77381897,0.997576416,413.5044556,55.14289856,0.980429649,387.646759,55.04779053,0.994845152,424.1210632,64.66757202,0.613160133,362.5927124,64.34036255,0.944702744,439.1427612,135.0571289,0.991618872,332.4838257,136.2547607,0.999159455,467.1946411,218.6730957,0.948261738,288.0550232,207.4593353,0.99515909,480.5477905,290.52771,0.939503193,222.5213013,239.6856689,0.989143789,420.1855774,320.8587952,0.993873835,350.5916748,321.7615967,0.997678339,425.4537048,450.510498,0.667093694,348.589325,455.3669739,0.822793067,421.6622009,480,0.056776021,353.6179504,480,0.093160219
6,1.78E+12,0.325,401.545105,66.36343384,0.99747014,413.8376465,54.76029968,0.978995383,388.0351868,54.58618164,0.994811177,424.1515808,64.49513245,0.58253938,362.3719482,64.02119446,0.94490087,439.8703613,135.4088745,0.990794718,332.3377075,136.5924683,0.999109685,467.5093079,218.7629089,0.943656266,289.091095,207.6837006,0.995029628,479.9262085,290.6314392,0.934180796,223.3623657,240.2088928,0.988778293,422.3709106,321.6397705,0.993556917,351.620697,322.4857178,0.997613072,428.0361633,451.5791626,0.655766547,346.7558594,456.3138428,0.818022966,423.6700134,480,0.055272143,349.7467651,480,0.091509953
7,1.78E+12,0.373,401.4084778,66.16687012,0.997582793,413.6261597,54.76620483,0.97985965,388.1685486,54.3946991,0.994990647,423.7466125,64.65908813,0.601675272,362.72995,63.75662231,0.948295414,439.9375916,135.8114624,0.991850555,331.4761047,136.6368713,0.999171734,468.1078796,218.6828918,0.947241306,287.4153137,207.4598389,0.995060384,479.9921875,290.1786804,0.936463952,223.6048279,240.8376465,0.988623738,421.8577271,322.4641418,0.994112074,350.6369019,323.20401,0.997760177,427.253418,454.45401,0.664148331,346.5896912,458.8922119,0.819760442,423.5370178,480,0.05498866,351.0971069,480,0.089511596
8,1.78E+12,0.419,401.335083,66.25384521,0.997541785,413.879364,54.73454285,0.980060458,387.9762573,54.24488831,0.994856954,424.3797302,64.43893433,0.600804627,362.4462585,63.21052551,0.945296049,439.6821289,135.0022888,0.991335869,332.1690674,135.8907623,0.999139309,467.3661499,218.0069733,0.945129335,288.5334778,207.2418823,0.99496752,480.696106,289.6378479,0.934641063,223.3932495,239.6309814,0.988514841,422.8631287,321.3902893,0.993750274,352.2420654,322.1954346,0.997650564,427.8092346,449.8042908,0.669298589,347.4389038,454.3207397,0.82476896,423.8731079,480,0.059522379,351.7720032,480,0.097571269
9,1.78E+12,0.466,401.3088074,66.35523987,0.997369528,413.688324,54.71627808,0.978466332,387.8850098,54.53283691,0.994471788,424.1987915,64.32035828,0.58813262,362.4273376,63.80258179,0.941809833,439.6968994,135.1664429,0.990778327,332.4482117,136.171814,0.999115169,467.3392334,218.5302734,0.945149779,288.6874695,207.3280945,0.995167255,479.9674072,289.1802979,0.936874568,223.0768127,239.9410706,0.989165246,422.1361084,320.6082153,0.993755817,351.6593628,321.3781433,0.99769479,427.0915222,451.384552,0.662908375,346.7717285,455.9157104,0.822854042,424.2832031,480,0.055878129,351.2893372,480,0.092791133
10,1.78E+12,0.512,401.4936829,66.38697815,0.997531772,413.6278687,54.7387085,0.979299068,387.9078369,54.6235199,0.994904041,423.7129211,64.20695496,0.590116203,362.1695862,63.90621948,0.948140562,439.6558533,134.9905396,0.991575181,332.2692871,136.3039551,0.999172747,467.6481934,218.0874176,0.945684552,288.7894592,207.2891235,0.9951455,481.5886841,289.613739,0.935117483,223.6968536,239.88797,0.988837123,423.0180054,320.2843018,0.993891001,352.6687012,321.319397,0.997724354,427.6492004,448.8016357,0.674759984,348.0921936,453.8631592,0.829750478,423.2995605,480,0.060279571,352.6331482,480,0.099170856
11,1.78E+12,0.606,401.3861389,66.39727783,0.997526705,413.847229,55.02058411,0.980055869,388.175293,54.67204285,0.994852483,424.3915405,64.91311646,0.618220568,363.1653137,64.02087402,0.946623981,440.1173401,135.8191071,0.991682172,332.0882874,136.4208374,0.999192059,468.307312,218.6688843,0.945375383,288.0641174,206.7662506,0.99511081,481.780365,290.5531616,0.936426222,223.907196,240.477356,0.988852978,420.9624634,319.3392334,0.994144499,350.8020325,320.0390015,0.997821808,425.6201782,450.228302,0.691453218,350.0083618,454.7259521,0.841224909,420.6943665,480,0.064410925,357.0338745,480,0.106574766
12,1.78E+12,0.653,401.7505798,66.52967834,0.997218132,414.0612183,54.82881165,0.976451039,388.3115234,54.56838989,0.994320273,424.2202148,64.17895508,0.563517392,362.5831299,63.42729187,0.944002688,439.3984985,135.2419586,0.990537226,332.4308472,135.8157654,0.999089718,467.3157349,219.0787964,0.942723453,288.940094,207.168808,0.994989574,481.5350952,290.8886719,0.932995975,223.1173248,240.5885925,0.988652289,421.9378052,321.3740845,0.993628025,351.7853088,322.0870972,0.99764961,427.3876343,452.3713684,0.657706559,348.2065735,456.9125366,0.819936812,424.0485535,480,0.055143792,353.0550537,480,0.091407724
